file_name,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Modality,Vocal_channel,Emotion,Emotional_intensity,Statement,Repetition,Actor,Emotion_label,Intensity_label,Statement_label,Actor_gender
03-01-01-01-01-01-01.wav,-781.6825,70.058044,5.1476507,13.0978365,6.758105,14.32536,-1.9894385,3.4939091,-2.366243,-0.9216222,-6.919755,-1.2412518,3.5187407,3,1,1,1,1,1,1,neutral,normal,Kids are talking by the door,male
03-01-01-01-01-02-01.wav,-772.4644,71.13018,3.4697623,13.903845,9.011167,14.973162,-2.9013116,4.9072905,-2.620109,-2.9433482,-6.704802,-0.7283283,3.6172197,3,1,1,1,1,2,1,neutral,normal,Kids are talking by the door,male
03-01-01-01-02-01-01.wav,-777.25867,72.45806,5.8557367,13.510947,7.557459,12.344082,-1.8180449,5.427038,-3.5939922,-1.6141084,-6.691478,-1.8337907,2.6074867,3,1,1,1,2,1,1,neutral,normal,Dogs are sitting by the door,male
03-01-01-01-02-02-01.wav,-773.04486,70.79507,7.784384,14.736279,7.278001,13.929562,-0.8238485,6.634629,-4.111044,-2.5030305,-6.6509104,-0.8331543,3.2232523,3,1,1,1,2,2,1,neutral,normal,Dogs are sitting by the door,male
03-01-02-01-01-01-01.wav,-814.0734,76.80442,8.059467,15.544461,7.3962417,15.151326,-1.988484,4.9470983,-4.235058,-0.0081537105,-6.7588344,-2.8098469,2.7099283,3,1,2,1,1,1,1,calm,normal,Kids are talking by the door,male
03-01-02-01-01-02-01.wav,-793.10724,80.858315,10.3990965,12.927598,6.2940226,16.429731,-1.7094263,3.850341,-4.5637574,-0.70418024,-4.9452043,-2.9320624,3.8805246,3,1,2,1,1,2,1,calm,normal,Kids are talking by the door,male
03-01-02-01-02-01-01.wav,-795.738,84.394966,7.3694844,15.788103,6.604272,15.044158,-2.2234719,7.886086,-3.814485,0.0971188,-5.1390104,-2.6583693,4.211291,3,1,2,1,2,1,1,calm,normal,Dogs are sitting by the door,male
03-01-02-01-02-02-01.wav,-787.21014,84.70602,9.666133,13.8268175,7.899194,15.781772,-1.9446393,7.565991,-4.0962343,-0.9968954,-4.9211426,-2.704008,3.0549955,3,1,2,1,2,2,1,calm,normal,Dogs are sitting by the door,male
03-01-02-02-01-01-01.wav,-832.5162,84.892,11.94478,15.685737,7.6567125,17.21751,-1.487518,5.3406467,-4.305623,1.9329921,-4.197001,-1.9372756,3.325383,3,1,2,2,1,1,1,calm,strong,Kids are talking by the door,male
03-01-02-02-01-02-01.wav,-791.60803,84.376595,6.1252074,14.911207,4.645116,17.249199,-4.41912,6.412454,-6.708206,-0.22078696,-4.6132374,-2.8312469,4.835758,3,1,2,2,1,2,1,calm,strong,Kids are talking by the door,male
03-01-02-02-02-01-01.wav,-791.15796,85.355644,10.863173,18.174938,2.3775,17.062984,-2.028923,8.457406,-8.824969,2.0434425,-7.457356,-2.445951,3.9399467,3,1,2,2,2,1,1,calm,strong,Dogs are sitting by the door,male
03-01-02-02-02-02-01.wav,-780.6059,84.58678,3.3070114,15.062563,6.6021557,16.237118,-2.7785366,7.1819835,-8.098187,-1.4074098,-6.5152183,-1.5911765,5.191806,3,1,2,2,2,2,1,calm,strong,Dogs are sitting by the door,male
03-01-03-01-01-01-01.wav,-733.455,80.36386,3.2728686,11.811445,6.7844934,12.388223,-5.6587086,2.5843058,-5.66912,-2.6876643,-7.692091,-1.2626313,2.8100736,3,1,3,1,1,1,1,happy,normal,Kids are talking by the door,male
