file_name,Modality,Vocal_channel,Emotion,Emotional_intensity,Statement,Repetition,Actor,Emotion_label,Intensity_label,Statement_label,Actor_gender
03-01-01-01-01-01-01.wav,3,1,1,1,1,1,1,neutral,normal,Kids are talking by the door,male
03-01-01-01-01-02-01.wav,3,1,1,1,1,2,1,neutral,normal,Kids are talking by the door,male
03-01-01-01-02-01-01.wav,3,1,1,1,2,1,1,neutral,normal,Dogs are sitting by the door,male
03-01-01-01-02-02-01.wav,3,1,1,1,2,2,1,neutral,normal,Dogs are sitting by the door,male
03-01-02-01-01-01-01.wav,3,1,2,1,1,1,1,calm,normal,Kids are talking by the door,male
03-01-02-01-01-02-01.wav,3,1,2,1,1,2,1,calm,normal,Kids are talking by the door,male
03-01-02-01-02-01-01.wav,3,1,2,1,2,1,1,calm,normal,Dogs are sitting by the door,male
03-01-02-01-02-02-01.wav,3,1,2,1,2,2,1,calm,normal,Dogs are sitting by the door,male
03-01-02-02-01-01-01.wav,3,1,2,2,1,1,1,calm,strong,Kids are talking by the door,male
03-01-02-02-01-02-01.wav,3,1,2,2,1,2,1,calm,strong,Kids are talking by the door,male
03-01-02-02-02-01-01.wav,3,1,2,2,2,1,1,calm,strong,Dogs are sitting by the door,male
03-01-02-02-02-02-01.wav,3,1,2,2,2,2,1,calm,strong,Dogs are sitting by the door,male
03-01-03-01-01-01-01.wav,3,1,3,1,1,1,1,happy,normal,Kids are talking by the door,male
03-01-03-01-01-02-01.wav,3,1,3,1,1,2,1,happy,normal,Kids are talking by the door,male
03-01-03-01-02-01-01.wav,3,1,3,1,2,1,1,happy,normal,Dogs are sitting by the door,male
03-01-03-01-02-02-01.wav,3,1,3,1,2,2,1,happy,normal,Dogs are sitting by the door,male
03-01-03-02-01-01-01.wav,3,1,3,2,1,1,1,happy,strong,Kids are talking by the door,male
03-01-03-02-01-02-01.wav,3,1,3,2,1,2,1,happy,strong,Kids are talking by the door,male
03-01-03-02-02-01-01.wav,3,1,3,2,2,1,1,happy,strong,Dogs are sitting by the door,male
03-01-03-02-02-02-01.wav,3,1,3,2,2,2,1,happy,strong,Dogs are sitting by the door,male
03-01-04-01-01-01-01.wav,3,1,4,1,1,1,1,sad,normal,Kids are talking by the door,male
03-01-04-01-01-02-01.wav,3,1,4,1,1,2,1,sad,normal,Kids are talking by the door,male
03-01-04-01-02-01-01.wav,3,1,4,1,2,1,1,sad,normal,Dogs are sitting by the door,male
03-01-04-01-02-02-01.wav,3,1,4,1,2,2,1,sad,normal,Dogs are sitting by the door,male
03-01-04-02-01-01-01.wav,3,1,4,2,1,1,1,sad,strong,Kids are talking by the door,male
03-01-04-02-01-02-01.wav,3,1,4,2,1,2,1,sad,strong,Kids are talking by the door,male
03-01-04-02-02-01-01.wav,3,1,4,2,2,1,1,sad,strong,Dogs are sitting by the door,male
03-01-04-02-02-02-01.wav,3,1,4,2,2,2,1,sad,strong,Dogs are sitting by the door,male
03-01-05-01-01-01-01.wav,3,1,5,1,1,1,1,angry,normal,Kids are talking by the door,male
03-01-05-01-01-02-01.wav,3,1,5,1,1,2,1,angry,normal,Kids are talking by the door,male
03-01-05-01-02-01-01.wav,3,1,5,1,2,1,1,angry,normal,Dogs are sitting by the door,male
03-01-05-01-02-02-01.wav,3,1,5,1,2,2,1,angry,normal,Dogs are sitting by the door,male
03-01-05-02-01-01-01.wav,3,1,5,2,1,1,1,angry,strong,Kids are talking by the door,male
03-01-05-02-01-02-01.wav,3,1,5,2,1,2,1,angry,strong,Kids are talking by the door,male
